year	sexo	estud_gr	edad_gr	min_t	p20_t	p40_t	p60_t	p80_t	max_t
1996	99	2	3	43.0	49.9	58.1	62.7	70.3	79.5
1996	99	2	4	46.5	57.4	61.9	65.1	70.4	86.2
1996	99	2	5	56.5	63.3	66.0	68.7	70.8	79.1
1996	99	2	6	53.9	62.3	64.4	67.0	71.6	85.3
1996	99	2	7	26.8	39.2	42.9	47.5	53.1	73.0
1996	99	2	8	0.0	0.0	1.5	3.2	5.5	17.9
1996	99	2	99	34.2	42.7	46.4	49.2	53.6	62.0
1996	99	3	1	0.0	0.0	0.0	0.0	0.0	100.0
1996	99	3	2	3.6	10.2	16.5	19.7	28.1	46.4
1996	99	3	3	27.3	43.8	49.0	54.5	59.5	77.9
1996	99	3	4	50.4	71.1	75.3	79.7	82.6	90.0
1996	99	3	5	77.0	84.2	86.3	88.8	91.3	94.4
1996	99	3	6	55.8	83.1	88.9	90.6	92.3	100.0
1996	99	3	7	36.1	53.8	64.3	68.9	76.6	88.0
1996	99	3	8	0.0	1.6	5.3	8.4	13.1	24.1
1996	99	3	99	52.8	59.3	62.9	65.1	67.9	77.3
1996	99	99	1	3.2	7.9	10.1	13.4	17.1	23.5
1996	99	99	2	22.7	29.9	33.5	37.7	41.5	56.2
1996	99	99	3	39.1	46.4	54.6	58.7	66.0	74.1
1996	99	99	4	44.7	57.7	61.0	64.7	70.9	83.9
1996	99	99	5	49.1	59.5	62.9	66.3	70.6	77.0
1996	99	99	6	42.9	51.6	56.0	60.0	63.6	72.3
1996	99	99	7	21.3	27.6	31.9	35.7	37.7	58.3
1996	99	99	8	0.1	0.9	1.1	1.6	2.0	12.0
1996	99	99	99	30.2	35.4	37.6	40.9	42.4	51.1
1997	1	1	1	0.0	13.0	19.8	29.1	34.4	67.6
1997	1	1	2	21.7	46.7	57.9	62.8	73.6	90.9
1997	1	1	3	26.9	56.1	61.5	70.1	79.6	90.4
1997	1	1	4	47.5	63.0	69.8	79.5	86.9	100.0
1997	1	1	5	57.9	70.5	77.6	82.0	87.3	94.6
1997	1	1	6	57.0	70.0	75.7	82.6	85.4	91.8
1997	1	1	7	33.3	41.0	45.4	53.5	57.8	66.4
1997	1	1	8	0.0	0.6	1.2	1.4	1.9	12.2
1997	1	1	99	34.7	38.7	42.4	46.0	48.3	50.5
1997	1	2	1	5.5	10.1	11.7	15.2	17.7	25.0
1997	1	2	2	28.7	37.7	45.1	49.6	57.7	66.2
1997	1	2	3	51.0	69.0	75.3	77.8	86.0	92.5
1997	1	2	4	67.7	77.9	83.6	86.8	90.8	95.8
1997	1	2	5	76.3	83.1	86.0	89.9	92.2	96.5
1997	1	2	6	74.7	81.5	86.8	89.0	92.8	100.0
1997	1	2	7	38.2	52.8	58.9	62.5	69.9	88.6
1997	1	2	8	0.0	0.0	1.5	4.7	7.7	18.1
1997	1	2	99	48.2	59.2	60.5	63.3	70.0	75.4
1997	1	3	1	0.0	0.0	0.0	0.0	60.3	100.0
1997	1	3	2	0.0	9.3	15.3	20.8	24.8	38.9
1997	1	3	3	7.8	42.9	50.9	56.5	70.8	100.0
1997	1	3	4	51.8	74.3	80.9	87.2	90.5	100.0
1997	1	3	5	88.1	93.1	94.5	96.1	98.0	100.0
1997	1	3	6	74.5	93.5	95.2	96.5	100.0	100.0
1997	1	3	7	15.9	63.5	69.9	78.8	84.0	100.0
1997	1	3	8	0.0	2.3	8.5	16.0	22.0	57.0
1997	1	3	99	54.9	67.2	69.5	72.3	76.3	82.8
1997	1	99	1	5.6	10.7	12.8	17.0	18.1	27.9
1997	1	99	2	27.9	36.6	42.8	49.0	54.1	64.6
1997	1	99	3	51.0	65.6	69.0	73.8	78.5	88.6
1997	1	99	4	62.2	75.1	80.0	83.9	88.4	94.2
1997	1	99	5	71.8	81.6	84.1	87.1	91.0	95.3
1997	1	99	6	67.8	76.5	80.2	86.7	88.5	93.1
1997	1	99	7	34.8	44.8	50.7	54.7	59.8	68.6
1997	1	99	8	0.0	1.5	1.8	2.1	2.5	12.7
1997	1	99	99	44.0	49.5	54.2	56.1	58.5	63.6
1997	6	1	1	0.0	3.3	12.8	19.0	24.2	54.9
1997	6	1	2	0.0	23.0	31.7	42.7	47.0	66.9
1997	6	1	3	4.0	16.3	25.7	32.1	42.0	100.0
1997	6	1	4	2.5	20.3	25.5	35.4	41.1	100.0
1997	6	1	5	12.8	23.7	30.7	34.6	40.1	64.8
1997	6	1	6	11.3	19.3	25.2	30.3	36.6	64.9
1997	6	1	7	5.1	10.5	14.1	16.8	21.6	49.7
1997	6	1	8	0.0	0.2	0.5	0.8	1.2	5.7
1997	6	1	99	7.8	11.3	13.0	15.5	18.8	33.2
1997	6	2	1	1.5	4.4	6.2	8.5	11.0	21.8
1997	6	2	2	8.4	23.0	26.1	31.5	37.2	54.5
1997	6	2	3	25.8	36.0	43.7	48.7	58.7	71.0
1997	6	2	4	26.8	36.5	41.8	47.5	52.1	64.0
1997	6	2	5	11.7	36.5	41.8	46.7	52.3	64.1
1997	6	2	6	0.0	30.6	36.1	40.8	49.5	65.5
1997	6	2	7	3.3	14.3	19.6	26.8	37.6	100.0
1997	6	2	8	0.0	0.0	0.0	1.4	4.8	34.7
1997	6	2	99	17.8	27.7	33.1	35.4	38.4	54.4
1997	6	3	1	0.0	0.0	0.0	48.8	54.5	100.0
1997	6	3	2	5.0	14.0	20.2	23.2	34.6	50.0
1997	6	3	3	24.1	42.0	47.2	52.2	62.4	83.6
1997	6	3	4	44.1	62.1	71.3	74.7	80.6	94.7
1997	6	3	5	61.3	72.3	78.1	81.6	85.8	94.6
1997	6	3	6	41.4	71.4	78.4	81.6	89.4	100.0
1997	6	3	7	0.0	34.2	45.5	55.5	67.6	95.2
1997	6	3	8	0.0	0.0	0.0	0.0	8.5	28.1
1997	6	3	99	46.8	52.4	55.5	60.2	65.4	78.0
1997	6	99	1	3.4	5.2	7.2	9.2	11.4	21.5
1997	6	99	2	9.1	22.0	26.0	31.0	35.4	49.8
1997	6	99	3	28.5	36.0	41.4	48.2	58.4	73.4
1997	6	99	4	28.6	37.9	45.1	49.8	55.0	66.8
1997	6	99	5	25.0	38.2	42.8	47.6	52.7	66.4
1997	6	99	6	13.3	27.0	32.6	37.0	42.0	64.2
1997	6	99	7	5.7	12.7	17.0	18.7	22.6	48.7
1997	6	99	8	0.0	0.3	0.7	1.0	1.5	6.0
1997	6	99	99	14.2	21.7	24.4	28.0	31.4	41.1
1997	99	1	1	0.0	11.3	19.6	23.4	30.9	55.5
1997	99	1	2	19.5	39.5	46.5	53.9	60.9	82.9
1997	99	1	3	19.9	40.9	46.8	51.1	61.8	81.2
1997	99	1	4	26.6	45.9	50.9	59.8	66.1	100.0
1997	99	1	5	35.2	46.8	54.0	57.7	65.9	75.5
1997	99	1	6	36.1	44.5	48.9	55.1	58.0	72.3
1997	99	1	7	19.8	24.0	30.8	33.1	37.1	51.7
1997	99	1	8	0.0	0.6	0.8	1.1	1.4	8.6
1997	99	1	99	20.3	24.4	25.8	29.5	32.0	39.1
1997	99	2	1	4.4	7.2	9.4	11.4	13.9	23.2
1997	99	2	2	21.9	31.6	35.6	41.6	45.7	60.2
1997	99	2	3	40.3	52.9	59.9	64.4	71.8	81.9
1997	99	2	4	49.1	58.1	63.4	67.0	72.2	80.4
1997	99	2	5	53.9	63.1	65.5	68.5	73.4	79.1
1997	99	2	6	57.1	60.6	64.9	67.6	71.5	79.6
1997	99	2	7	27.8	39.7	44.1	48.1	54.5	68.8
1997	99	2	8	0.0	0.0	1.7	4.0	7.3	18.2
1997	99	2	99	36.9	43.9	47.4	49.4	55.0	64.5
1997	99	3	1	0.0	0.0	0.0	18.9	56.5	100.0
1997	99	3	2	3.2	14.7	19.0	21.5	29.4	42.6
1997	99	3	3	24.0	44.2	49.1	55.4	63.8	83.3
1997	99	3	4	56.4	69.1	74.5	78.9	83.3	96.3
1997	99	3	5	80.0	83.7	85.4	88.5	90.0	96.0
1997	99	3	6	71.6	84.9	87.9	90.5	93.4	98.9
1997	99	3	7	15.9	58.5	63.4	66.8	72.4	94.0
1997	99	3	8	0.0	3.4	6.5	10.3	13.9	37.8
1997	99	3	99	52.1	59.9	63.2	64.7	70.1	76.8
1997	99	99	1	5.2	8.2	10.8	12.5	15.3	24.3
1997	99	99	2	22.5	30.7	35.7	40.1	43.4	56.2
1997	99	99	3	40.8	51.9	56.0	61.0	67.1	81.5
1997	99	99	4	45.9	58.0	62.8	66.5	72.0	80.8
1997	99	99	5	49.0	59.8	64.3	66.8	72.5	78.7
1997	99	99	6	45.7	53.0	57.1	61.5	64.1	75.7
1997	99	99	7	21.1	28.1	33.6	36.6	40.5	51.9
1997	99	99	8	0.0	0.9	1.1	1.6	1.9	9.0
1997	99	99	99	30.7	36.2	38.6	41.6	43.9	52.1
1998	1	1	1	0.0	13.2	18.2	30.2	40.3	81.2
1998	1	1	2	31.6	46.8	59.0	70.4	82.0	100.0
1998	1	1	3	24.9	58.3	68.2	74.1	80.3	93.5
1998	1	1	4	43.3	64.3	70.2	76.8	82.3	96.3
1998	1	1	5	62.7	73.3	78.3	84.8	88.7	96.2
1998	1	1	6	57.6	69.8	76.9	82.9	87.2	93.3
1998	1	1	7	30.9	42.1	47.0	53.0	57.1	71.6
1998	1	1	8	0.2	0.7	1.2	1.6	2.4	9.5
1998	1	1	99	32.9	40.1	42.5	45.3	48.4	51.4
1998	1	2	1	1.8	10.7	12.5	16.2	23.5	35.4
1998	1	2	2	32.9	38.5	45.8	50.1	57.9	73.4
1998	1	2	3	54.2	69.7	77.0	83.1	86.9	95.9
1998	1	2	4	69.8	79.6	84.7	88.6	93.9	96.4
1998	1	2	5	75.5	85.3	88.4	91.5	93.8	96.3
1998	1	2	6	72.5	82.0	86.1	90.6	92.5	95.1
1998	1	2	7	31.3	54.3	59.6	64.3	68.7	87.4
1998	1	2	8	0.0	0.0	1.7	3.8	6.8	32.1
1998	1	2	99	49.7	59.6	64.3	66.9	72.0	75.9
1998	1	3	1	0.0	0.0	0.0	0.0	0.0	0.0
1998	1	3	2	0.0	10.9	14.9	18.1	25.9	57.0
1998	1	3	3	31.7	42.6	51.5	61.0	66.3	83.8
1998	1	3	4	54.0	78.1	84.4	89.7	94.2	100.0
1998	1	3	5	75.3	91.4	94.1	95.3	97.8	100.0
1998	1	3	6	72.4	90.4	92.7	95.3	98.8	100.0
1998	1	3	7	6.6	67.6	75.0	80.9	85.0	100.0
1998	1	3	8	0.0	2.7	8.7	13.8	20.8	55.0
1998	1	3	99	56.8	67.8	70.3	72.8	76.5	85.1
1998	1	99	1	3.8	11.5	14.2	18.1	25.5	36.4
1998	1	99	2	33.5	38.4	44.0	49.3	56.8	70.2
1998	1	99	3	54.2	66.5	71.1	75.1	82.4	88.2
1998	1	99	4	66.0	77.1	81.4	85.3	91.1	95.8
1998	1	99	5	71.8	83.1	84.9	89.2	92.2	95.3
1998	1	99	6	65.9	77.0	80.7	85.7	89.6	93.8
1998	1	99	7	31.6	45.8	52.2	56.7	60.3	71.5
1998	1	99	8	0.5	1.3	1.7	2.4	3.0	11.5
1998	1	99	99	46.8	50.0	55.3	58.2	60.3	65.1
1998	6	1	1	0.0	2.4	7.7	14.2	20.7	59.6
1998	6	1	2	0.0	17.3	26.9	36.7	47.9	75.2
1998	6	1	3	0.0	16.9	26.5	36.7	50.2	100.0
1998	6	1	4	0.0	19.7	26.9	34.7	42.3	73.0
1998	6	1	5	13.5	24.0	30.3	36.7	42.2	70.6
1998	6	1	6	13.5	19.1	24.3	28.7	34.4	56.0
1998	6	1	7	5.2	10.8	13.5	15.8	23.7	46.6
1998	6	1	8	0.0	0.4	0.6	0.8	1.1	3.1
1998	6	1	99	8.2	11.0	13.1	14.5	18.2	29.7
1998	6	2	1	1.1	4.5	6.1	8.8	11.3	23.2
1998	6	2	2	8.7	23.1	28.1	32.0	37.2	55.1
1998	6	2	3	30.6	36.5	44.0	51.8	62.5	70.3
1998	6	2	4	13.8	36.5	43.0	49.3	55.1	71.4
1998	6	2	5	23.9	38.6	42.9	47.7	54.2	60.5
1998	6	2	6	15.2	30.9	38.2	42.7	49.2	66.3
1998	6	2	7	0.0	15.1	20.0	27.9	32.8	60.0
1998	6	2	8	0.0	0.0	0.0	1.5	2.9	21.7
