year	prov_resid	sexo	estud_gr	edad_gr	tocup
1996	2	99	1	7	26.0
1996	2	99	1	8	0.9
1996	2	99	1	99	24.0
1996	2	99	2	1	17.9
1996	2	99	2	2	43.3
1996	2	99	2	3	56.6
1996	2	99	2	4	58.0
1996	2	99	2	5	64.6
1996	2	99	2	6	67.9
1996	2	99	2	7	73.0
1996	2	99	2	8	6.7
1996	2	99	2	99	50.0
1996	2	99	3	2	31.2
1996	2	99	3	3	54.1
1996	2	99	3	4	85.3
1996	2	99	3	5	88.6
1996	2	99	3	6	88.9
1996	2	99	3	7	68.4
1996	2	99	3	8	0.0
1996	2	99	3	99	67.9
1996	2	99	99	1	19.5
1996	2	99	99	2	40.8
1996	2	99	99	3	54.8
1996	2	99	99	4	61.0
1996	2	99	99	5	59.5
1996	2	99	99	6	52.1
1996	2	99	99	7	30.3
1996	2	99	99	8	1.1
1996	2	99	99	99	37.1
1996	3	1	1	1	20.0
1996	3	1	1	2	55.1
1996	3	1	1	3	67.2
1996	3	1	1	4	70.7
1996	3	1	1	5	72.5
1996	3	1	1	6	77.8
1996	3	1	1	7	50.7
1996	3	1	1	8	1.7
1996	3	1	1	99	47.0
1996	3	1	2	1	18.3
1996	3	1	2	2	51.6
1996	3	1	2	3	79.1
1996	3	1	2	4	82.0
1996	3	1	2	5	85.1
1996	3	1	2	6	79.2
1996	3	1	2	7	64.6
1996	3	1	2	8	4.4
1996	3	1	2	99	62.5
1996	3	1	3	2	22.8
1996	3	1	3	3	44.1
1996	3	1	3	4	82.2
1996	3	1	3	5	99.3
1996	3	1	3	6	92.4
1996	3	1	3	7	39.2
1996	3	1	3	8	3.9
1996	3	1	3	99	65.4
1996	3	1	99	1	18.5
1996	3	1	99	2	50.4
1996	3	1	99	3	73.8
1996	3	1	99	4	79.7
1996	3	1	99	5	82.7
1996	3	1	99	6	79.5
1996	3	1	99	7	51.5
1996	3	1	99	8	2.1
1996	3	1	99	99	56.0
1996	3	6	1	1	12.4
1996	3	6	1	2	36.7
1996	3	6	1	3	39.5
1996	3	6	1	4	28.4
1996	3	6	1	5	38.7
1996	3	6	1	6	31.6
1996	3	6	1	7	13.7
1996	3	6	1	8	2.0
1996	3	6	1	99	18.2
1996	3	6	2	1	15.9
1996	3	6	2	2	41.2
1996	3	6	2	3	44.8
1996	3	6	2	4	39.5
1996	3	6	2	5	42.4
1996	3	6	2	6	33.3
1996	3	6	2	7	21.7
1996	3	6	2	8	0.0
