year	prov_resid	sexo	estud_gr	edad_gr	tparo
1996	2	99	1	7	14.8
1996	2	99	1	8	0.0
1996	2	99	1	99	29.3
1996	2	99	2	1	44.1
1996	2	99	2	2	29.3
1996	2	99	2	3	25.5
1996	2	99	2	4	21.8
1996	2	99	2	5	19.9
1996	2	99	2	6	10.9
1996	2	99	2	7	2.2
1996	2	99	2	8	0.0
1996	2	99	2	99	24.1
1996	2	99	3	2	43.4
1996	2	99	3	3	30.9
1996	2	99	3	4	14.7
1996	2	99	3	5	5.2
1996	2	99	3	6	2.3
1996	2	99	3	7	0.0
1996	2	99	3	8	0.0
1996	2	99	3	99	13.3
1996	2	99	99	1	51.2
1996	2	99	99	2	36.0
1996	2	99	99	3	28.0
1996	2	99	99	4	22.4
1996	2	99	99	5	20.5
1996	2	99	99	6	18.7
1996	2	99	99	7	12.1
1996	2	99	99	8	0.0
1996	2	99	99	99	24.7
1996	3	1	1	1	42.8
1996	3	1	1	2	35.4
1996	3	1	1	3	26.2
1996	3	1	1	4	21.6
1996	3	1	1	5	19.5
1996	3	1	1	6	15.2
1996	3	1	1	7	11.7
1996	3	1	1	8	0.0
1996	3	1	1	99	17.5
1996	3	1	2	1	44.9
1996	3	1	2	2	25.2
1996	3	1	2	3	17.0
1996	3	1	2	4	12.9
1996	3	1	2	5	10.2
1996	3	1	2	6	15.7
1996	3	1	2	7	3.2
1996	3	1	2	8	0.0
1996	3	1	2	99	17.6
1996	3	1	3	2	32.4
1996	3	1	3	3	37.1
1996	3	1	3	4	14.6
1996	3	1	3	5	0.7
1996	3	1	3	6	0.0
1996	3	1	3	7	0.0
1996	3	1	3	8	0.0
1996	3	1	3	99	7.9
1996	3	1	99	1	44.7
1996	3	1	99	2	26.7
1996	3	1	99	3	19.9
1996	3	1	99	4	14.7
1996	3	1	99	5	11.9
1996	3	1	99	6	13.8
1996	3	1	99	7	9.8
1996	3	1	99	8	0.0
1996	3	1	99	99	16.7
1996	3	6	1	1	76.1
1996	3	6	1	2	53.2
1996	3	6	1	3	36.6
1996	3	6	1	4	20.4
1996	3	6	1	5	27.1
1996	3	6	1	6	16.8
1996	3	6	1	7	12.8
1996	3	6	1	8	0.0
1996	3	6	1	99	24.0
1996	3	6	2	1	51.0
1996	3	6	2	2	38.7
1996	3	6	2	3	35.1
1996	3	6	2	4	27.6
1996	3	6	2	5	30.3
1996	3	6	2	6	23.2
1996	3	6	2	7	24.3
1996	3	6	2	8	0.0
1996	3	6	2	99	34.4
1996	3	6	3	1	100.0
1996	3	6	3	2	53.4
1996	3	6	3	3	19.1
1996	3	6	3	4	16.1
1996	3	6	3	5	6.7
1996	3	6	3	6	4.8
1996	3	6	3	7	32.1
1996	3	6	3	8	0.0
1996	3	6	3	99	17.9
1996	3	6	99	1	53.8
1996	3	6	99	2	41.9
1996	3	6	99	3	32.0
1996	3	6	99	4	24.5
1996	3	6	99	5	25.0
1996	3	6	99	6	16.8
1996	3	6	99	7	16.5
1996	3	6	99	8	0.0
1996	3	6	99	99	29.0
1996	3	99	1	1	59.6
1996	3	99	1	2	43.5
1996	3	99	1	3	30.0
1996	3	99	1	4	21.4
1996	3	99	1	5	22.6
1996	3	99	1	6	15.7
1996	3	99	1	7	12.0
1996	3	99	1	8	0.0
1996	3	99	1	99	19.7
1996	3	99	2	1	47.9
1996	3	99	2	2	31.4
1996	3	99	2	3	24.2
1996	3	99	2	4	18.1
1996	3	99	2	5	17.9
1996	3	99	2	6	17.8
1996	3	99	2	7	10.3
1996	3	99	2	8	0.0
1996	3	99	2	99	24.3
1996	3	99	3	1	100.0
1996	3	99	3	2	49.0
1996	3	99	3	3	25.5
1996	3	99	3	4	15.5
1996	3	99	3	5	3.2
1996	3	99	3	6	1.6
1996	3	99	3	7	9.2
1996	3	99	3	8	0.0
1996	3	99	3	99	12.9
1996	3	99	99	1	49.2
1996	3	99	99	2	34.0
1996	3	99	99	3	25.1
1996	3	99	99	4	18.4
1996	3	99	99	5	17.1
1996	3	99	99	6	14.7
1996	3	99	99	7	11.5
1996	3	99	99	8	0.0
1996	3	99	99	99	21.5
1996	4	1	1	1	22.4
1996	4	1	1	2	19.0
1996	4	1	1	3	23.3
1996	4	1	1	4	16.9
1996	4	1	1	5	21.6
1996	4	1	1	6	14.1
1996	4	1	1	7	10.7
1996	4	1	1	8	0.0
1996	4	1	1	99	17.6
1996	4	1	2	1	30.3
1996	4	1	2	2	18.5
1996	4	1	2	3	16.3
1996	4	1	2	4	18.3
1996	4	1	2	5	9.0
1996	4	1	2	6	20.5
1996	4	1	2	7	7.7
1996	4	1	2	8	0.0
1996	4	1	2	99	16.5
1996	4	1	3	2	45.1
1996	4	1	3	3	21.0
1996	4	1	3	4	8.0
1996	4	1	3	5	7.4
1996	4	1	3	6	0.0
1996	4	1	3	7	0.0
1996	4	1	3	8	0.0
1996	4	1	3	99	10.5
1996	4	1	99	1	27.2
1996	4	1	99	2	19.7
1996	4	1	99	3	19.3
1996	4	1	99	4	16.8
1996	4	1	99	5	15.1
1996	4	1	99	6	14.4
1996	4	1	99	7	8.8
1996	4	1	99	8	0.0
1996	4	1	99	99	16.3
1996	4	6	1	1	46.8
1996	4	6	1	2	55.3
1996	4	6	1	3	57.0
1996	4	6	1	4	29.2
